TITLE,Protein_AMSS
251.9,10045.15238
251.8,3322.513407
251.7,263.4882682
251.6,-3004.481313
251.5,9940.550342
251.4,-4059.953337
251.3,9219.214777
251.2,-11989.9979
251.1,-7826.110852
251,-6094.632059
250.9,-8226.323722
250.8,1401.705133
250.7,-8050.205904
250.6,1250.850396
250.5,9101.666142
250.4,6286.110146
250.3,167.4736377
250.2,8825.331473
250.1,-9386.772098
250,388.5719507
249.9,-10581.6434
249.8,-1901.172279
249.7,3020.430752
249.6,-5469.777938
249.5,-3019.668563
249.4,2615.830203
249.3,6815.313995
249.2,-10256.24046
249.1,-1519.681681
249,748.5968474
248.9,2169.747993
248.8,4222.503275
248.7,-6227.208948
248.6,-10980.37034
248.5,-12585.46882
248.4,-12950.64404
248.3,6214.717632
248.2,-3731.888385
248.1,530.2442264
248,3491.588322
247.9,-6191.373371
247.8,-9552.859319
247.7,-6983.35984
247.6,-13561.54014
247.5,300.7686128
247.4,-14291.39436
247.3,-4010.881444
247.2,-5958.705608
247.1,-16139.57071
247,-988.3380467
246.9,-6721.019606
246.8,6464.184326
246.7,1231.61472
246.6,-16180.1771
246.5,-4353.525251
246.4,-11507.83042
246.3,-5974.367812
246.2,-13272.00534
246.1,-9412.035177
246,-14213.01775
245.9,-14418.73883
245.8,-14766.43977
245.7,-7345.291342
245.6,-13945.53669
245.5,499.1482475
245.4,-17982.5497
245.3,-10024.20235
245.2,-16628.80597
245.1,-16206.39009
245,-13042.76042
244.9,-17095.66407
244.8,-19001.97491
244.7,-9648.117188
244.6,-7803.724642
244.5,-23816.52536
244.4,-11847.05003
244.3,-17379.48357
244.2,-15395.70985
244.1,-13854.06941
244,-28302.22605
243.9,-16626.7026
243.8,-31693.87028
243.7,-10461.53182
243.6,-28310.36813
243.5,-13583.41747
243.4,-16044.95064
243.3,-30933.97402
243.2,-19564.15872
243.1,-27248.25578
243,-16707.15092
242.9,-26724.47095
242.8,-14274.40907
242.7,-26369.83792
242.6,-13963.00825
242.5,-27203.90404
242.4,-24987.23276
242.3,-26805.32637
242.2,-37245.2206
242.1,-27858.12055
242,-50774.31227
241.9,-29588.20049
241.8,-38194.15796
241.7,-39996.92862
241.6,-24477.66264
241.5,-31077.95322
241.4,-43462.53917
241.3,-54238.7015
241.2,-33989.0878
241.1,-40461.27624
241,-38088.35609
240.9,-42694.85366
240.8,-47292.66633
240.7,-45786.26756
240.6,-40375.35463
240.5,-53828.88323
240.4,-50655.73185
240.3,-56441.83656
240.2,-47493.75321
240.1,-47895.90435
240,-53282.16485
239.9,-57210.17797
239.8,-72673.98731
239.7,-60797.24128
239.6,-54693.50479
239.5,-41831.54388
239.4,-58271.54396
239.3,-65218.37071
239.2,-69729.74159
239.1,-73547.20328
239,-53238.92134
238.9,-70637.94591
238.8,-70895.71075
238.7,-86014.34093
238.6,-84098.46314
238.5,-74978.19731
238.4,-72591.61655
238.3,-81365.16527
238.2,-89453.24091
238.1,-92835.59864
238,-71018.09081
237.9,-94597.6815
237.8,-107394.7771
237.7,-94189.76305
237.6,-104883.1701
237.5,-107983.9474
237.4,-103638.562
237.3,-89530.81689
237.2,-121316.159
237.1,-94914.31813
237,-109194.8564
236.9,-110585.1174
236.8,-102378.5744
236.7,-120010.7114
236.6,-119509.0685
236.5,-128670.0447
236.4,-120125.3791
236.3,-128905.2605
236.2,-129541.2478
236.1,-105254.7658
236,-118121.9739
235.9,-144844.5224
235.8,-130836.744
235.7,-137772.4432
235.6,-131205.8518
235.5,-143981.009
235.4,-137876.9333
235.3,-153366.5711
235.2,-148716.7622
235.1,-148557.0869
235,-158593.5634
234.9,-152305.8384
234.8,-165417.7613
234.7,-167744.1359
234.6,-159222.5395
234.5,-162220.1837
234.4,-178053.1461
234.3,-184885.2599
234.2,-177724.9749
234.1,-162677.0451
234,-177921.5157
233.9,-179149.6135
233.8,-196307.7002
233.7,-192994.3241
233.6,-199840.008
233.5,-197271.6326
233.4,-195227.9693
233.3,-206344.4029
233.2,-228315.8188
233.1,-213965.3943
233,-207030.8259
232.9,-214286.3282
232.8,-216113.0954
232.7,-211080.3823
232.6,-234773.8491
232.5,-230064.3315
232.4,-234226.7462
232.3,-235450.773
232.2,-245840.7517
232.1,-241535.172
232,-255189.4482
231.9,-258506.6693
231.8,-241889.3527
231.7,-258972.3513
231.6,-267790.003
231.5,-264050.072
231.4,-265181.8218
231.3,-258346.0893
231.2,-279959.0272
231.1,-267571.976
231,-272957.739
230.9,-289736.3141
230.8,-267329.5228
230.7,-265258.7193
230.6,-290445.8063
230.5,-297272.2659
230.4,-284082.9932
230.3,-297320.2137
230.2,-281713.1942
230.1,-293311.3678
230,-301477.6527
229.9,-310202.1227
229.8,-302242.3302
229.7,-308751.2485
229.6,-322771.4662
229.5,-322776.2157
229.4,-330611.8415
229.3,-310628.9037
229.2,-325945.5222
229.1,-319534.5351
229,-326157.8949
228.9,-323602.6373
228.8,-333682.086
228.7,-329215.9263
228.6,-344886.2732
228.5,-344995.2866
228.4,-354642.5263
228.3,-352770.9776
228.2,-364847.9511
228.1,-342748.0712
228,-370261.9851
227.9,-373185.2198
227.8,-351157.4878
227.7,-368069.5026
227.6,-371497.9989
227.5,-381839.8036
227.4,-377333.1596
227.3,-390696.5825
227.2,-385936.6292
227.1,-389349.746
227,-386110.3271
226.9,-376004.1905
226.8,-397796.2543
226.7,-386248.5163
226.6,-381273.2502
226.5,-381499.193
226.4,-393644.0172
226.3,-420271.8009
226.2,-404368.7261
226.1,-416986.922
226,-396819.4303
225.9,-406189.6129
225.8,-418057.6062
225.7,-423274.4208
225.6,-435331.2652
225.5,-435962.9553
225.4,-426377.9122
225.3,-436417.5551
225.2,-455847.2834
225.1,-443680.747
225,-413780.2976
224.9,-422062.6072
224.8,-420853.2814
224.7,-440868.5614
224.6,-426874.3532
224.5,-435920.6617
224.4,-442024.7375
224.3,-435199.1825
224.2,-448686.9984
224.1,-431453.145
224,-436952.8971
223.9,-431288.7201
223.8,-442907.0228
223.7,-437022.5572
223.6,-449484.9227
223.5,-439163.6993
223.4,-433624.3676
223.3,-433094.9059
223.2,-467424.8757
223.1,-431686.3253
223,-459034.005
222.9,-443822.3289
222.8,-448267.4548
222.7,-456263.8868
222.6,-440112.2522
222.5,-445097.0175
222.4,-439312.5185
222.3,-456597.2599
222.2,-457936.859
222.1,-451334.7591
222,-455037.146
221.9,-447083.6862
221.8,-438417.3416
221.7,-445536.0115
221.6,-424148.7903
221.5,-459497.8776
221.4,-446532.2861
221.3,-451824.415
221.2,-427793.2779
221.1,-450882.4211
221,-464297.6366
220.9,-464519.2823
220.8,-450885.5874
220.7,-447343.5544
220.6,-446338.0069
220.5,-479099.4945
220.4,-451253.3383
220.3,-441550.0087
220.2,-450395.253
220.1,-442682.6631
220,-459107.5099
219.9,-435069.8139
219.8,-471275.1771
219.7,-462463.8582
219.6,-442002.5729
219.5,-439275.653
219.4,-452627.5412
219.3,-458896.0419
219.2,-455764.7317
219.1,-447251.5036
219,-433124.0818
218.9,-444474.6003
218.8,-427115.9017
218.7,-440072.2203
218.6,-434327.9795
218.5,-436167.4121
218.4,-416415.6191
218.3,-452885.6001
218.2,-434000.2605
218.1,-454538.4433
218,-441471.0757
217.9,-427724.7487
217.8,-451395.1462
217.7,-434125.5582
217.6,-453394.2542
217.5,-444259.7397
217.4,-435048.3278
217.3,-445721.9225
217.2,-443966.6247
217.1,-443064.8888
217,-442187.5792
216.9,-421765.1949
216.8,-452048.3224
216.7,-433977.1913
216.6,-452243.0539
216.5,-433505.4027
216.4,-432533.3283
216.3,-407197.8744
216.2,-436660.9129
216.1,-449377.7186
216,-443143.5956
215.9,-446973.768
215.8,-430125.759
215.7,-429643.7928
215.6,-424611.7583
215.5,-434944.29
215.4,-439124.3459
215.3,-422019.4089
215.2,-442451.9707
215.1,-452163.6686
215,-419273.0385
214.9,-430124.402
214.8,-436722.8832
214.7,-432996.7486
214.6,-443304.1756
214.5,-425232.1399
214.4,-394711.9873
214.3,-436335.908
214.2,-444566.1988
214.1,-445547.0938
214,-415286.5833
213.9,-439227.9313
213.8,-437309.7919
213.7,-420521.9438
213.6,-447858.9936
213.5,-440460.1002
213.4,-437013.0581
213.3,-449497.5881
213.2,-431958.4066
213.1,-441505.6796
213,-440339.3259
212.9,-433870.2134
212.8,-455919.8837
212.7,-452073.8795
212.6,-461979.178
212.5,-431117.9625
212.4,-413462.304
212.3,-424328.3685
212.2,-419019.7292
212.1,-439319.5298
212,-443186.3416
211.9,-442851.1591
211.8,-430798.6119
211.7,-416131.5508
211.6,-409115.7877
211.5,-454566.4883
211.4,-419578.3667
211.3,-459530.6721
211.2,-444639.7037
211.1,-424205.3325
211,-431786.292
210.9,-414860.2547
210.8,-429114.7835
210.7,-429447.9305
210.6,-426401.2076
210.5,-420306.8571
210.4,-414530.2741
210.3,-461802.7661
210.2,-417961.9367
210.1,-421580.641
210,-467460.6104
209.9,-432187.0635
209.8,-418214.7936
209.7,-435446.1591
209.6,-438543.3177
209.5,-447056.772
209.4,-427571.6323
209.3,-404177.3871
209.2,-426394.6487
209.1,-435219.3116
209,-449586.0202
208.9,-437574.4096
208.8,-425422.5742
208.7,-437606.2994
208.6,-421007.0764
208.5,-433160.2688
208.4,-409714.0047
208.3,-391613.4717
208.2,-438182.3519
208.1,-369191.5272
208,-372514.8548
207.9,-383535.1666
207.8,-378407.0102
207.7,-389265.1588
207.6,-407026.8906
207.5,-379319.6022
207.4,-365352.5342
207.3,-400406.0186
207.2,-399524.8641
207.1,-375690.494
207,-369678.9214
206.9,-367984.0108
206.8,-359335.7597
206.7,-339367.749
206.6,-347216.0403
206.5,-319083.3279
206.4,-350534.8445
206.3,-296301.0961
206.2,-333756.7217
206.1,-278073.6822
206,-358488.5305
205.9,-328628.3392
205.8,-317269
205.7,-283273.0819
205.6,-282704.7192
205.5,-296830.784
205.4,-254541.474
205.3,-242852.8327
205.2,-311701.6234
205.1,-277758.1765
205,-223885.62
204.9,-228916.2976
204.8,-201449.653
204.7,-220687.59
204.6,-194132.4066
204.5,-175025.8737
204.4,-201275.9552
204.3,-173033.3246
204.2,-127574.8665
204.1,-158215.1826
204,-142284.7414
203.9,-155957.5635
203.8,-186510.7367
203.7,-164867.9444
203.6,-146423.8607
203.5,-65754.02943
203.4,-111652.2507
203.3,-125224.812
203.2,-61367.86572
203.1,-33333.62735
203,-96699.4476
202.9,-76615.00514
202.8,-79560.44955
202.7,-70873.45572
202.6,-90507.41473
202.5,-68098.04518
202.4,-100900.311
202.3,-47443.72462
202.2,3460.431277
202.1,-47927.83942
202,-49496.63822
201.9,-16355.84936
201.8,-23454.96025
201.7,-28870.67927
201.6,-15162.32603
201.5,20207.00346
201.4,-27161.92707
201.3,107824.7018
201.2,-2705.185061
201.1,58622.64875
201,53119.43624
200.9,-9554.23895
200.8,19980.83444
200.7,49803.32342
200.6,57186.67901
200.5,110811.2411
200.4,99280.51111
200.3,36793.01825
200.2,42870.54176
200.1,61129.96984
200,33461.77472
199.9,108898.1678
199.8,85090.6214
199.7,99802.73538
199.6,34151.70332
199.5,144361.8777
199.4,111685.0678
199.3,176689.1207
199.2,103309.0337
199.1,76382.6617
199,120585.633
198.9,108680.1183
198.8,98500.68032
198.7,139208.3903
198.6,85009.04224
198.5,36210.70087
198.4,161970.7193
198.3,70545.84989
198.2,169238.4346
198.1,146746.83
198,171358.543
197.9,157587.5636
197.8,134092.4244
197.7,101113.8372
197.6,154371.8924
197.5,166764.1455
197.4,106926.4715
197.3,139893.886
197.2,147965.881
197.1,154721.0974
197,106274.675
196.9,178806.0628
196.8,148238.1885
196.7,141615.7334
196.6,207545.3605
196.5,144226.4024
196.4,92469.52146
196.3,164146.9176
196.2,155023.4854
196.1,108984.9715
196,102603.6126
195.9,96257.061
195.8,127120.7869
195.7,87011.06781
195.6,129910.8532
195.5,77485.95943
195.4,132909.2438
195.3,166316.557
195.2,122425.9704
195.1,155537.5676
195,66773.96125
194.9,139086.9376
194.8,133319.4013
194.7,187427.3997
194.6,93352.19131
194.5,88730.1107
194.4,93950.61192
194.3,80391.48501
194.2,102971.6574
194.1,114419.587
194,139103.2217
193.9,70355.77744
193.8,156979.3951
193.7,113860.3162
193.6,93586.38933
193.5,138273.6338
193.4,136845.6026
193.3,76362.71359
193.2,89122.01638
193.1,93405.09224
193,135675.7659
192.9,5355.768396
192.8,73199.73982
192.7,38706.38557
192.6,147431.6698
192.5,34045.75897
192.4,120639.9136
192.3,40253.26859
192.2,48534.63505
192.1,102014.8946
192,107849.2864
191.9,81289.69266
191.8,135783.9652
191.7,77088.85186
191.6,74304.28599
191.5,81986.94914
191.4,92479.15626
191.3,93017.14452
191.2,103605.5866
191.1,44970.09141
191,67683.40951
190.9,51270.75327
190.8,110137.9812
190.7,73495.36534
190.6,80797.72981
190.5,73037.1469
190.4,93643.83626
190.3,38393.41287
190.2,35325.13606
190.1,82224.42662
190,19686.2719
,
##### Extended Information,
[Comments],
Sample name,Protein_AMSS
Comment,
User,ScharfMinor
Division,
Company,Saint Mary's College
,
[Detailed Information],
Creation date,9/27/22 14:37
,
Data array type,Linear data array * 3
Horizontal axis,Wavelength [nm]
Vertical axis(1),CD [mdeg]
Vertical axis(2),HT [V]
Vertical axis(3),Abs
Start,320 nm
End,190 nm
Data interval,0.1 nm
Data points,1301
,
[Measurement Information],
Instrument name,J-1500
Model name,J-1500
Serial No.,B051061638
,
Detector,PM-539
Detector S/N,B051061638
Lock-in amp.,X mode
HT volt,Auto
,
Accessory,PTC-517
Accessory S/N,B026561646
Temperature,22.10 C
Control sensor,Holder
Monitor sensor,Holder
,
Measurement date,9/27/22 14:37
,
CD Overload detect,846
Photometric mode,CD
Measure range,320 - 190 nm
Data pitch,0.1 nm
CD scale,20 mdeg/0.05 dOD
FL scale,20 mdeg/0.05 dOD
D.I.T.,8 msec
Bandwidth,1.00 nm
Start mode,Immediately
Scanning mode,Continuous
Scanning speed,50 nm/min
Baseline correction,None
Shutter control,Auto
No. of cycle,1-Jan
N2 Flowmeter,Manual
,
Solvent,NaPO4 buffer